Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,Wanted,buy,,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18530203acda1.pdf,1,,"WANTED To hire, two colored Women. (slaves) as Cooks. Apply to No. 38 S. CHARLES ST.","2 cooks wanted, slaves preferred",18530203,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,,,38 S. Charles St.,MD
,For Sale,sell,16,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350207acda17.pdf,1,,"FOR SALE—A NEGRO GIRL aged 16 years,
not to go out of the State, to serve until 31 years
of age. Apply at No. 82 Pratt st. between Cheapside
and South street.	
d8t fe 7",page 3 4th column,18350207,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,BA,,,No. 82 Pratt Street,MD
,Wanted,buy,16 - 18,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350214acda18.pdf,1,,"WANTED-Wanted to purchase or hire, a Negro BOY, 16 or 18 years of age, who has been
accustomed to House work. None need apply who
cannot come well recommended. Apply at this office.
fe 14 eo4t",page 3 4th column 2nd from bottom,18350214,,private_dealer,,,MD,House Work,,,American Commercial and Daily Advertiser,,,,,,MD
,Family Servant,sell,22,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350224acda19.pdf,1,,"FAMILY SERVANT—For sale a likely and
intelligent NEGRO MAN 22 years old, a slave
for life, sober, honest and well disposed, was raised by
a respectable family in the country as a House Servant
and will prove very useful where there is a garden or
horses to look alter, to a kind master he will be disposed of at a fair price. References of the first respectability as to his character and deportment will be given by his master who is retiring from housekeeping
A note from principals addressed to [K.] and left at
this office will receive attention. 
1t fe 20 G",page 4 4th column bottom,18350224,,private_dealer,,,MD,House Servant,,,American Commercial and Daily Advertiser,,,,,,MD
,Wanted to Purchase,buy,14 - 16,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350225acda20.pdf,1,,"WANTED TO PURCHASE—A Negro
Girl between 11 and 16 years, a slave for life. Inquire at this office, or at No. 73 Fayette street near to Howard st. 
fe 21 2aw2w",page 4 3rd column 4th from bottom,18350225,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,BA,,,No. 73 Fayette St.,MD
,Servant to Hire,sell,,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350226acda21.pdf,1,,"SERVANT TO HIRE—For hire by the month
or year a servant Woman who can be highly recommended as a nurse, chambermaid or general House
servant. Also for rent, a Two story brick DWELLING
with Store attached to it in East Baltimore street, between Front and High streets.
Also 2 three story brick HOUSES, corner of
High and Pitt streets, the corner having a store and every
convenience for a bakery. Apply at this office.
fe 25 4t* G*",page 3 3rd column big house,18350226,,private_dealer,,,MD,Nurse and Chambermaid,,,American Commercial and Daily Advertiser,,BA,,,,MD
,To hire,buy,17,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350228acda22.pdf,1,,"TO HIRE, a colored BOY, about seventeen years of age—he has been accustomed to attending to horses, and occasionally waiting in the house.
To a person who would take pains with him, the
terms will be very moderate. Apply at the bar of
Sinner’s Tammany Hall, Water street, where the boy
may be seen.
fe 26 4t*",page 1 4th column,18350228,,private_dealer,,,MD,tending horses and waiting house,,,American Commercial and Daily Advertiser,,,,,,MD
,To Hire,sell,22,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350303acda23.pdf,1,,"TO HIRE—A colored man, aged about 22, would answer for a waiter, porter, coachman, &c. Is a
bright mulatto, and genteel in his appearance, and has
a pleasant disposition, has been accustomed to farming,
house work and milling, will be hired by the year, the
employer furnishing his clothes, &c. Apply to the
printer.	
d4t mh 3",page 3 3rd column bottom,18350303,,private_dealer,,,MD,"farming, housework, milling",,,American Commercial and Daily Advertiser,,,,,,MD
,For Hire,sell,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350304acda24.pdf,1,,"FOR HIRE—Two colored Men laborers, will
be hired by the year. Apply to the Printers.
mh4 4t",page 3 3rd column middle,18350304,,private_dealer,,,MD,laborer,,,American Commercial and Daily Advertiser,,,,,,MD
,For Sale,sell,18,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350311acda25.pdf,1,,"FOR SALE—A likely Negro Waiter, aged 18 years--has 19 years to serve. Apply at this office.	
mh 11 d4t",1st column page 3,18350311,,private_dealer,,,MD,Waiter,,,American Commercial and Daily Advertiser,,,,,,MD
