Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,Wanted to hire,buy,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351028acda56.pdf,1,,"WANTED TO HIRE—by the year—A Slave
colored BOY, who has been accustomed to
writing—for one that will suit liberal wages will bo
given. Apply at this office. 
oc 28 eo4t?",page 3 2nd column,18351028,,private_dealer,,,MD,waiting,,,American Commercial and Daily Advertiser,,,,,,MD
,Valuable Servants for sale,sell,25,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350101acda01.pdf,2,,"VALUABLE SERVANTS For SALE
A young man about 25 years of age, that is an
excellent carnage driver and groom, also a .good waiter, honest and sober. His wife, a stout, healthy young
woman, about 18 years of age, a good washer and ironer, and chamber maid. and their infant child. These
Servants are not sold for any fault, and not to go out
of the State. The cause of this valuable family of
Servants being sold, will be communicated to any one;
it relates to situation and not to the servants. Enquire
at the office. A preference will be given if sold together. 
de 8 d",p. 4 -- 2nd column bottom,18350101,,private_dealer,,,MD,Carriage Driver and Groom,,,American Commercial and Daily Advertiser,,,,,,MD
18241225,Sheriff's Sale.,Sale,,Dorchester,Two negro children,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18250101cc1.pdf,4,ERROR (4 occurences),,Sale to take place at residence of Thomas Stanton. Lawsuit against Stanton to satisfy debt and cost.,18241225,18250202,public_dealer,Dorchester,North West Fork,Maryland,,,,Cambridge Chronicle,1,DO,Thos. H.,"Hicks, Shff.",,Maryland
18251015,Public Sale.,Sale,,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18251022cc&esa4.pdf,8,ERROR (8 occurrences),,"Sale consisted of part of Roger Hooper's negroes. Total of 8 negroes. John Newton provided ad and was Administrator for Roger Hooper, deceased. Ad repeated 2 times.",18251015,18251025,public_dealer,Dorchester,Tavern of Charles Lecompte,Maryland,,Rachael,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Roger,Hooper,,Maryland
18260506,Sheriff's Sale.,Sale,,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18260527cc4c.pdf,5,ERROR (5 occurrences),,"Lawsuit issued by Daniel Martin. Seized and taken from Thomas Jones, of Thomas. Sale to take place between 10 a.m. and 4 p.m.",18260506,18260527,public_dealer,Dorchester,Tobacco Stick,Maryland,,Mary,,Cambridge Chronicle,4,DO,Caleb,Griffin,,Maryland
18280719,Public Sale,Sale,,Queen Anne's,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18280726ctpa4.pdf,3,,"Public Sale.
BY virtue of seven Writs of Fieri
Facias, to me directed, four at the suit
of William Harper, jr, one at the suit
of Robert Bishop, use of William Harper, jr. one other at the suit or Stevens
& Jenkins; and one other at the suit of
Edward H. Coursey, against Peter
Foster, will be sold at Mr. Bread’s
tavern in Centreville, on
Tuesday the 12th of August next,
between the hours of 10 o’clock, A. M.
& 5 P. M. the following property, to wit:
One negrO Woman,
named Lucy, One Negro Boy, named
Harry, and one other Negro Boy, named
John.
One bay Horse,
and one Grey ditto,
Seized and taken as the
property of Peter Foster, and will be
sold to satisfy the above mentioned
Writs, Debts, Interest, and Costs, due
and to beceme due thereon
EDW. CLARK, Constable.
July 19th, 4w",Slaves were seized as the property of Peter Foster,18280726,18280812,public_dealer,Queen Anne's County,Mr. Bread's tavern in Centreville,Maryland,,Lucy,,Centreville Times and Eastern-Shore Public Advertiser,1,QA,Edw.,Clark,,Maryland
18290919,Sale,Sale,,Queen Anne's,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18290919ctpa2.pdf,2,,"Sale.
BY Virtue of a writ of Vendi. Exps.
Issued out of Ann's County court
to me directed, at the suit of Benjamin
W. Earickson executor of John Earickson, use of Daniel Newnam against
Robert Stevens, and wife formerly Ann
Betton, will be sold on
Saturday 10th day of
October next,
At the Court House door in Centreville, Between the hours of 10 and 5
o'clock of that day. the following property to Wit:
3 Negro Boys, Harry
PHILL & BILL.
Seized and taken as the property of
said Stevens and will be sold tor cash.
to satisfy the above mentioned writ,
debt, interest and cost, due and to become due, thereon.
Thos. Ashcom,
Sheriff
Sept. 19th 4t",Seized and taken as the property of Robert Stevens and wife formerly Ann Betton,18290919,18291010,public_dealer,Queen Anne's County,At the court house door in Centreville,Maryland,,Phill,,Centreville Times and Eastern-Shore Public Advertiser,3,QA,Thos.,Ashcom,,Maryland
18300529,Cash for Negroes,Purchase,12 to 25,Queen Anne's,both sexes,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301113ctpa4.pdf,,,"Cash for Negroes
The Subscriber, agent for Austin Woolfolk,
WISHES TO PURCHASE
100 NEGROES;
of both sexes, from the age of
twelve to twenty five;
For whom the highest prices, in cash,
will be given. Any person wishing to
sell, will please call at the Easton Hotel. 
SAML. REYNOLDS
May 29",the subscriber is an agent for Austin Woolfolk,18301113,,private_dealer,,,,,100 Negroes,,Centreville Times and Eastern-Shore Public Advertiser,4,,Saml.,Reynolds,Easton hotel,Maryland
18310105,For Sale,sell,19 - 30,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310106acda2.pdf,,,"FOR SALE—A Stout healthy NEGRO MAN,
aged 24 years; he has been brought up on a farm,
and accustomed to wagoning. Inquire at this office.
ja 5 4t",,18310106,,private_dealer,,,MD,field hands,,,American and Commercial Daily Advertiser,,,,,,MD
18310531,Sheriff's Sale.,Sale,13,Caroline,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310531cai5b.pdf,,ERROR,,Estate sale of James Saterfield to pay his debts. Ad repeats for 3 weeks.,18310531,18310623,public_dealer,Caroline,Collin's X Roads,Maryland,,Daniel,,Caroline Intelligencer,3,CA,Thos. S.,"Carter, Late Sheriff",,Maryland
